case_id,slice_idx,Boundary Dice,Boundary Precision,Boundary Recall,HD95,ASSD,pred_pixels,gt_pixels
coronacases_003,73,0.7923904183403424,0.8630630630877365,0.7324159021815878,4.7888543819997835,1.524137997493175,4134,3941
coronacases_003,74,0.8197767254371859,0.9049295774815265,0.7492711370627885,8.636519931338249,2.1704246953130206,4126,4201
coronacases_003,75,0.8015503999682126,0.8489326765436892,0.7591776799178888,4.0738633753705855,1.3410965547210496,4182,4445
coronacases_003,76,0.7267267452027928,0.8446771378979622,0.6376811594680263,9.891899366389326,2.4693578597625123,4204,4611
coronacases_003,77,0.6944024423111637,0.7886597938507458,0.6202702703215851,10.331799232967889,2.5430393476141697,4174,4925
coronacases_003,78,0.6292490406470751,0.7467166979837305,0.5437158470568695,15.556349186104045,3.3972195632003066,4072,5089
coronacases_003,79,0.6262295377079381,0.7074074074615913,0.5617647059467994,13.322792301510265,3.2714486786955104,4074,5129
coronacases_003,80,0.639934561284993,0.733583489731035,0.5674891147216997,18.384776310850235,3.8892723339234387,4155,5139
coronacases_003,81,0.7363494718799597,0.7737704918403656,0.702380952425241,9.460104128183877,2.101822245176671,4266,5514
coronacases_003,82,0.6926605726201288,0.7341977309993197,0.6555716353609883,10.02992537267253,2.328502577302311,4362,5022
coronacases_003,83,0.7726550223400777,0.9152542373040954,0.6685006878035076,13.45362404707371,2.432315486729539,4085,4592
coronacases_003,84,0.7666666818478923,0.8263473054238828,0.7150259067849697,15.811388300841896,2.6233998494834814,3957,4113
coronacases_003,85,0.7254902150197713,0.7537037037493142,0.6993127148282968,11.224622760197445,2.4538773089703816,4142,4313
coronacases_003,86,0.7730627453467802,0.7759259259674213,0.770220588277533,6.008276253029814,1.996835255469855,4055,3871
coronacases_003,87,0.7022472120659637,0.7780082988012431,0.6399317406757796,5.0990195135927845,1.9475358234507407,3831,3591
coronacases_003,88,0.6758080550865382,0.7615894040261392,0.6073943662663038,9.219544457292887,2.403437981140118,3930,3598
coronacases_003,89,0.7067669377541084,0.8103448276270808,0.6266666667288889,60.31347000948942,5.837946621219388,3872,3788
coronacases_003,90,0.6840633965955105,0.7677824268268237,0.6168067227534779,26.090890965869484,4.028894762501743,3992,3483
coronacases_003,91,0.674723085591175,0.6878850103310298,0.662055336035167,8.294920742565541,2.1956988683403282,4158,3629
coronacases_003,92,0.7965116406797871,0.843942505165515,0.7541284404120866,6.324555320336759,1.586478745792692,4097,3824
coronacases_003,93,0.8493150773307908,0.9273504273659507,0.7833935018441529,4.254115450513289,1.3370617660366928,3992,3918
coronacases_003,94,0.811301726955181,0.9157175398825245,0.7282608696144456,7.810249675906654,1.91819241339835,3927,3962
coronacases_003,95,0.6860707086820795,0.7801418440236071,0.6122448980311235,19.026297590440446,3.4217208042015117,3862,4202
coronacases_003,96,0.6477644763004299,0.7173913044160891,0.5904572565426527,14.142135623730951,2.8736461583434614,3826,4032
coronacases_003,97,0.7563195307275332,0.8183807440222362,0.7030075188528182,8.602325267042627,2.0032296815627824,3965,4413
coronacases_003,98,0.7254707820586547,0.7640918580868284,0.6905660377942329,8.974922359499619,2.521760619520393,3981,4075
