threshold,min_area,dice,iou,sensitivity,specificity,precision,mae
0.7000000000000001,50,0.7463643,0.662782,0.7091672,0.99851745,0.91811913,0.0064305915
0.55,75,0.7450024,0.66340035,0.7173328,0.99823,0.9078856,0.0063310536
0.8500000000000001,30,0.7434906,0.65641195,0.6927674,0.9988525,0.9331461,0.006707068
0.6000000000000001,75,0.74230564,0.6600315,0.7106411,0.99833614,0.91097134,0.006391851
0.9000000000000001,0,0.74211794,0.65277565,0.68489105,0.99898154,0.936367,0.0068464526
0.9000000000000001,5,0.7414744,0.65240836,0.68451685,0.998982,0.9363715,0.0068489825
0.9000000000000001,10,0.7413521,0.65228975,0.6843681,0.99898374,0.9363984,0.006852303
0.7500000000000001,50,0.7410767,0.6573895,0.70015275,0.9986392,0.92271453,0.006535347
0.3,100,0.7404685,0.6611565,0.7311346,0.9976416,0.88910246,0.006274604
0.35000000000000003,100,0.73974705,0.66001755,0.7259628,0.99778247,0.8936652,0.0063154786
0.8,50,0.7379758,0.653329,0.6923904,0.9987515,0.9274936,0.0066453214
0.9000000000000001,20,0.7379332,0.64964443,0.68148255,0.9989885,0.9394284,0.0068799746
0.6500000000000001,75,0.7370199,0.6556721,0.7032711,0.99844015,0.91566014,0.006475182
0.4,100,0.7361924,0.656216,0.7178291,0.99791384,0.8969487,0.00636165
0.8500000000000001,50,0.7341854,0.6483654,0.68348545,0.99887794,0.93270683,0.006788659
0.45,100,0.7340523,0.65448946,0.712792,0.998033,0.90177137,0.006394144
0.9000000000000001,30,0.7315448,0.64466256,0.67613107,0.998997,0.9385406,0.0069270157
0.7000000000000001,75,0.73022264,0.64920145,0.6934444,0.9985431,0.91875905,0.006587607
0.5,100,0.7293744,0.65081227,0.70535916,0.99815583,0.90572363,0.006437865
0.9000000000000001,50,0.7270803,0.64033294,0.6705327,0.99901503,0.93816125,0.0070075793
0.7500000000000001,75,0.7265973,0.6446812,0.68524265,0.99866515,0.9228992,0.0066887257
0.55,100,0.72588754,0.6479534,0.699242,0.99827456,0.91477853,0.0064921007
0.8,75,0.723727,0.6408226,0.67786056,0.99878484,0.92748,0.0068098474
0.6000000000000001,100,0.71770716,0.64137334,0.68906003,0.9983911,0.923683,0.0065604886
0.8500000000000001,75,0.7147389,0.6329564,0.6660199,0.9989115,0.9361245,0.006959668
0.6500000000000001,100,0.71051866,0.63423574,0.67791796,0.99849343,0.9266675,0.006637336
0.7000000000000001,100,0.70877093,0.631711,0.67271054,0.99859166,0.9296322,0.0067256475
0.9000000000000001,75,0.70607257,0.6243171,0.6531689,0.999046,0.94708693,0.007175426
0.7500000000000001,100,0.70240647,0.62591136,0.6632833,0.99871236,0.93613905,0.0068362537
0.8,100,0.69504225,0.61838454,0.652009,0.99882865,0.9408114,0.0069565848
0.8500000000000001,100,0.687122,0.6100663,0.6397455,0.9989513,0.9461209,0.0071294913
0.9000000000000001,100,0.68013656,0.6022059,0.62790376,0.9990821,0.95335853,0.007352681
