threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.045,10,0.7972955537399588,0.7086596003492127,0.8360056801725706,0.9964782066345036,0.8252090188253923,0.9938830439908605,0.0035217933670638048,0.2779839574206375,0.006116956
0.045,20,0.7930324048298073,0.7052393276004171,0.8311997531529247,0.9965014016575275,0.8251488732334064,0.9938658877358006,0.0034985983440403083,0.28278988444028313,0.0061341124
0.045,30,0.7911984178512728,0.7034427917929064,0.8278500643705631,0.9965224580027002,0.8247673269038115,0.9938367932571737,0.0034775419988677214,0.286139573222645,0.006163207
0.045,50,0.7820146511832464,0.6959312064532814,0.8160335680117048,0.9965922888967043,0.829520023611743,0.993759313395613,0.0034077111048634165,0.2979560695815034,0.0062406864
0.045,75,0.7788463614048867,0.6931431636802413,0.8074249409440722,0.9966808454204905,0.8344531251236015,0.9937129836008428,0.0033191545810769417,0.306564696649136,0.0062870164
0.045,100,0.7625727000521796,0.6784130519319557,0.7861113320341007,0.9967747712765097,0.8448766370802093,0.9936082276655692,0.0032252287250578763,0.32787830555910746,0.0063917725
0.05,0,0.7990011112370857,0.7102846452423421,0.8370287666975413,0.996519253621509,0.8254834920375398,0.9939034417503325,0.0034807463800584034,0.2769608708956661,0.006096558
0.05,3,0.7989929361694698,0.7102797988759147,0.8369656745484638,0.9965208018295078,0.8255225284233916,0.9939027302005835,0.0034791981720595565,0.2770239630447434,0.0060972697
0.05,5,0.7987116991870045,0.7101249222365955,0.8367027758681322,0.9965231734403078,0.8255657711516903,0.9939031255059996,0.0034768265612595954,0.27728686172507533,0.0060968744
0.05,10,0.7973128994729265,0.7087470498732322,0.8343702156803465,0.9965309508151754,0.8265543129324526,0.9938962471917591,0.0034690491863920187,0.27961942191286127,0.0061037526
0.05,20,0.7931065721525015,0.7053784003835099,0.8297629752382331,0.9965516877033613,0.82647083248477,0.9938785375091165,0.003448312298206015,0.28422666235497457,0.0061214627
0.05,30,0.7905524093953172,0.7031634662007429,0.8254839292727858,0.9965732947484964,0.8254944247413152,0.9938473874423257,0.0034267052530710476,0.28850570832042194,0.0061526126
0.05,50,0.7828257242536241,0.6969868643476882,0.8148827495107164,0.9966434221582245,0.8316615066917431,0.9937763115285062,0.0033565778433429718,0.29910688808249153,0.0062236884
0.05,75,0.7797190343742775,0.6942559211484939,0.8063490896670785,0.9967367559618536,0.8367651079591184,0.9937348835208961,0.0032632440397137655,0.3076405479261292,0.0062651164
