case_id,slice_idx,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
coronacases_003,59,0.9135349831984866,0.8408323959594582,0.9291485394699099,0.9973563595976702,0.8984375000061036,0.995681762695319,0.002643640403894061,0.07085146059224043,0.0043182373
coronacases_003,60,0.9320175438615127,0.8726899384048927,0.9664582148967334,0.9970365492262148,0.8999470619428297,0.9962158203125058,0.002963450775353241,0.03354178516011701,0.0037841797
coronacases_003,61,0.9238071446434223,0.8584029712229154,0.9268170426101846,0.9974976786641735,0.9208167330716724,0.9953460693359446,0.0025023213374002575,0.0731829574399407,0.0046539307
coronacases_003,62,0.915277777779739,0.8437900128107645,0.9102209944792717,0.9973013067356902,0.9203910614562203,0.9944152832031335,0.002698693265888046,0.08977900556676893,0.005584717
coronacases_003,63,0.9054283290944566,0.8271987601771716,0.8822314049635441,0.997449141263709,0.9298780487835419,0.9931945800781354,0.0025508587378754184,0.11776859507777818,0.00680542
coronacases_003,64,0.9065583284986156,0.8290870488383196,0.8824858757106409,0.997280577598961,0.9319809069239466,0.9926300048828237,0.002719422402629221,0.11751412432702396,0.007369995
coronacases_003,65,0.9058009579580308,0.8278210116787347,0.8737166324478536,0.997412719200183,0.9403314917149049,0.9918975830078248,0.002587280801414081,0.12628336758636952,0.008102417
coronacases_003,66,0.9002616088963332,0.8186143324466663,0.8932511356296804,0.9955006885067481,0.907382992751899,0.9906921386718892,0.004499311494853013,0.10674886440276611,0.009307861
coronacases_003,67,0.9043687134078311,0.8254316251075519,0.8953626634989488,0.9954159428681796,0.9135577798024399,0.9902801513672024,0.004584057133428901,0.10463733653077774,0.009719849
coronacases_003,68,0.911894273129047,0.8380566801663143,0.9167404783018381,0.9948832644129513,0.9070990359361057,0.990844726562514,0.005116735588657715,0.08325952172768647,0.009155273
coronacases_003,69,0.8936229077342146,0.807701925486179,0.8638673442133226,0.9957926760198783,0.9255014326668911,0.9882659912109554,0.004207323981739878,0.13613265581342252,0.011734009
coronacases_003,70,0.9120793112456029,0.838369304560231,0.8998712998738772,0.9953772039383053,0.924623115579883,0.9897155761718907,0.004622796063316698,0.10012870015186284,0.010284424
coronacases_003,71,0.9163888176466224,0.8456804733764336,0.942744063326049,0.9929550092313786,0.8914670658709714,0.9900512695312652,0.0070449907702409146,0.057255936700336255,0.0099487305
coronacases_003,72,0.9184297731338462,0.8491633278376346,0.9427001569873705,0.9931782091583868,0.8953777336010095,0.9902343750000149,0.006821790843233591,0.05729984303879383,0.009765625
coronacases_003,73,0.8951083591344259,0.8101322573456594,0.9170261355007098,0.9915577563114026,0.8742138364810301,0.9870758056640823,0.00844224369022089,0.08297386452466446,0.012924194
coronacases_003,74,0.900924702775298,0.8197115384654783,0.892882646991362,0.9938860357055614,0.9091129423192168,0.9874114990234567,0.006113964296068943,0.10711735303244187,0.012588501
coronacases_003,75,0.8937058073502525,0.8078373847483689,0.8672665916790266,0.9946473293938638,0.9218077474911093,0.9860076904297088,0.005352670607773072,0.13273340834347055,0.01399231
coronacases_003,76,0.8726035167342869,0.7739987925181324,0.834092387771978,0.9941239228559801,0.9148430066623491,0.9828643798828387,0.005876077145661262,0.16590761224970924,0.01713562
coronacases_003,77,0.866908451479647,0.7650824442334611,0.8008121827451612,0.996205309267301,0.9448969813142095,0.9815216064453407,0.0037946907343488893,0.1991878172751434,0.018478394
