Dice Index (DI),Jaccard Index (JA),Sensitivity (SE),Specificity (SP),Precision,Accuracy,MAE,TP,TN,FP,FN,HD95,ASSD,threshold,row_index,image_path,gt_path,lung_path,gt_area,pred_area,prob_max,prob_mean
0.7617668356208417,0.6152046783553777,0.6399026763912421,0.9994900639736379,0.9409660107166196,0.9949798583982857,0.0050201416,526,64681,33,296,10.148177429067328,2.374683313318206,0.035,42,data/processed/images/coronacases_001_slice_0097.npy,data/processed/infection_masks/coronacases_001_slice_0097.npy,data/processed/lung_masks/coronacases_001_slice_0097.npy,822,559,0.9999998807907104,0.006220072042196989
0.7863894139837027,0.6479750778748912,0.6680942184082646,0.9995510974890871,0.9555895865091028,0.9948272705076607,0.0051727295,624,64573,29,310,7.0,1.8828648243788773,0.035,43,data/processed/images/coronacases_001_slice_0098.npy,data/processed/infection_masks/coronacases_001_slice_0098.npy,data/processed/lung_masks/coronacases_001_slice_0098.npy,934,653,0.9999980926513672,0.006540954578667879
0.7112328767084316,0.551870748294627,0.5763765541689487,0.99922372302422,0.92846924176068,0.9919586181639112,0.008041382,649,64360,50,477,8.015564437074637,2.6348592825832036,0.035,44,data/processed/images/coronacases_001_slice_0099.npy,data/processed/infection_masks/coronacases_001_slice_0099.npy,data/processed/lung_masks/coronacases_001_slice_0099.npy,1126,699,0.9999993443489075,0.007592423353344202
0.6659663865511242,0.4992125984212661,0.5162866449469358,0.9993468930769113,0.9378698224713333,0.9902954101560989,0.00970459,634,64266,42,594,8.06225774829855,3.230277764052758,0.035,45,data/processed/images/coronacases_001_slice_0100.npy,data/processed/infection_masks/coronacases_001_slice_0100.npy,data/processed/lung_masks/coronacases_001_slice_0100.npy,1228,676,0.9999992847442627,0.007343582343310118
0.6131926121339674,0.4421613394182484,0.46038034864928384,0.9991909636865608,0.9178515007753894,0.9888153076170366,0.011184692,581,64222,52,681,14.790134482004676,3.8985674923349443,0.035,46,data/processed/images/coronacases_001_slice_0101.npy,data/processed/infection_masks/coronacases_001_slice_0101.npy,data/processed/lung_masks/coronacases_001_slice_0101.npy,1262,633,0.999992847442627,0.006898830179125071
0.6572972972937444,0.48953301126820026,0.5058236272836455,0.9993782447848728,0.9382716049237921,0.9903259277342239,0.009674072,608,64294,40,594,10.816653826391969,3.419468236553702,0.035,47,data/processed/images/coronacases_001_slice_0102.npy,data/processed/infection_masks/coronacases_001_slice_0102.npy,data/processed/lung_masks/coronacases_001_slice_0102.npy,1202,648,1.0,0.007156335283070803
0.6929133858231343,0.5301204819234528,0.5418719211778172,0.9995802108272958,0.9606986899423479,0.9910736083982863,0.008926392,660,64291,27,558,7.211102550927978,2.647895830732957,0.035,48,data/processed/images/coronacases_001_slice_0103.npy,data/processed/infection_masks/coronacases_001_slice_0103.npy,data/processed/lung_masks/coronacases_001_slice_0103.npy,1218,687,0.9999961853027344,0.007098481524735689
0.6140529531536963,0.4430565760437689,0.4506726457365421,0.9996417333871773,0.9632587859271045,0.9884338378904742,0.011566162,603,64175,23,735,7.810249675906654,3.1411455387044307,0.035,49,data/processed/images/coronacases_001_slice_0104.npy,data/processed/infection_masks/coronacases_001_slice_0104.npy,data/processed/lung_masks/coronacases_001_slice_0104.npy,1338,626,0.999980092048645,0.005830308888107538
0.6328042328008847,0.4628482972100399,0.4853896103856706,0.9990669320724995,0.9088145896518417,0.9894104003904741,0.0105896,598,64244,60,634,8.209420550647959,3.447712215645206,0.035,50,data/processed/images/coronacases_001_slice_0105.npy,data/processed/infection_masks/coronacases_001_slice_0105.npy,data/processed/lung_masks/coronacases_001_slice_0105.npy,1232,658,0.9998553395271301,0.0049102092161774635
0.5795290725584837,0.4079837618375644,0.46313364054943834,0.9972600180588167,0.7740693196306281,0.986648559570162,0.01335144,603,64058,176,699,37.69526002378814,6.271820183108191,0.035,51,data/processed/images/coronacases_001_slice_0106.npy,data/processed/infection_masks/coronacases_001_slice_0106.npy,data/processed/lung_masks/coronacases_001_slice_0106.npy,1302,779,0.999883770942688,0.006087352987378836
