threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.035,0,0.8045940019169863,0.7164920730812719,0.835124475001695,0.9968622206190525,0.8354859681738369,0.9941387275340111,0.003137779382515797,0.2788651625915129,0.0058612726
0.035,3,0.8045899112920281,0.7164895418099468,0.8350767227656665,0.9968634484337748,0.835521550814263,0.9941384903507614,0.003136551567793511,0.2789129148275413,0.0058615096
0.035,5,0.8045234701012423,0.7164227210214066,0.834906852050991,0.9968650688187825,0.8355923479457736,0.9941366719458473,0.0031349311827858057,0.2790827855422168,0.005863328
0.035,10,0.801863263330798,0.7145090231943185,0.8326119048295658,0.9968711192064771,0.835514874294909,0.9941290030207744,0.0031288807950911384,0.28137773276364186,0.005870997
0.035,20,0.8006124132465368,0.713092712272216,0.8298589281560264,0.9968926785342335,0.8360855712284438,0.994114455781461,0.0031073214673343584,0.2841307094371815,0.0058855442
0.035,30,0.7966891852714346,0.7098740437155796,0.8237690056964406,0.9969188064270518,0.8408881307811261,0.9940937417776559,0.0030811935745160713,0.2902206318967671,0.0059062582
0.035,50,0.7834199024462722,0.699749668646041,0.8104062678860879,0.9969795548913215,0.8471805604573798,0.994008118624523,0.003020445110246863,0.30358336970711985,0.0059918812
0.035,75,0.777210987263005,0.6945600304408509,0.8004388525906049,0.9970579079280186,0.852410486545694,0.9939563336150103,0.002942092073550088,0.3135507850026032,0.0060436665
0.035,100,0.7627154315819152,0.679990954435443,0.7794919639124672,0.9971585763424778,0.8551826910757171,0.9938126796267898,0.0028414236590905205,0.3344976736807405,0.00618732
0.04,0,0.8043477407294193,0.7164112221217311,0.8331385030307524,0.9969119983245419,0.8372509444349395,0.9941479776807484,0.003088001677025994,0.28085113456245575,0.005852022
0.04,3,0.8043026464955497,0.716372643148451,0.8330175672891396,0.99691354405241,0.8373030665432989,0.9941481358029148,0.0030864559491578423,0.2809720703040688,0.0058518643
0.04,5,0.8041153869806418,0.7161563479919082,0.8326630040047021,0.9969144445015946,0.8372452054289796,0.9941447361763361,0.003085555499973259,0.2813266335885064,0.0058552637
0.04,10,0.8019618488059902,0.7146669227911575,0.8308464849847352,0.9969206319654462,0.837874471432267,0.9941363557015144,0.003079368036121566,0.28314315260847306,0.005863644
