threshold,min_area,dice,iou,sensitivity,specificity,precision,mae
0.7500000000000001,20,0.7307219,0.6336864,0.6720124,0.99897283,0.9233628,0.008094669
0.5,75,0.7306815,0.6430309,0.6941449,0.9985982,0.91023976,0.007243735
0.45,100,0.72950107,0.641996,0.696576,0.9984879,0.8995442,0.0071145487
0.7500000000000001,30,0.727154,0.6308563,0.6686373,0.9989859,0.9266742,0.008126214
0.7000000000000001,50,0.72692704,0.63490874,0.67519796,0.9989135,0.9243874,0.0077603986
0.8,0,0.72670543,0.62724876,0.66259474,0.9990525,0.92226034,0.008381424
0.8,5,0.7265814,0.6271377,0.6624782,0.9990528,0.92223316,0.00838427
0.55,75,0.7254981,0.6365244,0.6837174,0.9987071,0.91598713,0.0075335726
0.8,10,0.7252776,0.6262939,0.6616086,0.99905425,0.92741275,0.00839352
0.6000000000000001,75,0.72321236,0.63342136,0.6776681,0.9987877,0.9192164,0.0076355613
0.8,20,0.72220784,0.6240494,0.65888965,0.99906445,0.9296326,0.00842214
0.8500000000000001,0,0.7216795,0.62113494,0.6534354,0.99913347,0.9310712,0.008572752
0.8500000000000001,5,0.7216041,0.62104315,0.6533383,0.99913365,0.93105733,0.008575993
0.5,100,0.7211342,0.6341288,0.6821127,0.9986432,0.9128908,0.007332283
0.8,30,0.72032255,0.62223184,0.6568204,0.99907255,0.9309974,0.008456611
0.8500000000000001,10,0.72024107,0.6201339,0.6523997,0.9991346,0.9309811,0.008587615
0.6500000000000001,75,0.7192274,0.62866116,0.66926455,0.99886864,0.92265534,0.007752018
0.7500000000000001,50,0.7179268,0.6230758,0.6588186,0.9990336,0.9296263,0.0082369
0.8500000000000001,20,0.7171893,0.61794144,0.64977634,0.99914473,0.93454564,0.008613547
0.55,100,0.7165625,0.62751955,0.6712666,0.99874896,0.91784036,0.0076308176
0.9000000000000001,0,0.71558607,0.61380273,0.64272314,0.99922377,0.93598044,0.008787245
0.9000000000000001,5,0.7149263,0.61337584,0.6422871,0.99922377,0.93596774,0.008792067
0.8500000000000001,30,0.714609,0.61570257,0.64731157,0.99915177,0.93555385,0.008651101
0.6000000000000001,100,0.71444625,0.624521,0.66565794,0.9988282,0.9211442,0.007745219
0.9000000000000001,10,0.71440226,0.6129362,0.6418261,0.9992244,0.9357629,0.008800131
0.7000000000000001,75,0.71399313,0.6230406,0.66034806,0.9989533,0.9277275,0.007906029
0.9000000000000001,20,0.7111494,0.6106369,0.63912964,0.9992341,0.9388575,0.008829621
0.9000000000000001,30,0.70910794,0.6086129,0.6369156,0.99923897,0.9401529,0.008873974
0.8,50,0.7066174,0.61132973,0.6434864,0.99911624,0.93360895,0.008576309
0.6500000000000001,100,0.70571685,0.61594886,0.65380025,0.99890506,0.92371374,0.007880809
0.7500000000000001,75,0.7040723,0.61024165,0.6436436,0.9990592,0.9316809,0.008387748
0.8500000000000001,50,0.7009142,0.6048686,0.63410026,0.99919534,0.93915546,0.0087695345
0.8,75,0.69782287,0.6025627,0.6332994,0.9991411,0.9354806,0.0087034395
0.7000000000000001,100,0.69697106,0.607678,0.6412847,0.99899167,0.9301288,0.008043833
0.9000000000000001,50,0.69557863,0.59808093,0.62432647,0.9992802,0.94369066,0.008988533
0.8500000000000001,75,0.69125205,0.5952136,0.6231804,0.99921936,0.9393762,0.0089188805
0.9000000000000001,75,0.6842523,0.5870369,0.61191803,0.9993024,0.9424473,0.009148158
0.7500000000000001,100,0.6816103,0.5917678,0.6219237,0.99909836,0.934992,0.008548242
0.8,100,0.6751191,0.58319914,0.6102705,0.9991831,0.9378544,0.008858715
0.8500000000000001,100,0.6630944,0.57208943,0.59597814,0.9992687,0.9472753,0.009090443
0.9000000000000001,100,0.65871274,0.5661897,0.5877995,0.9993427,0.95093083,0.009305727
