threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.11,0,0.7980761384398436,0.7098116819213774,0.8218370804843399,0.996929046963215,0.8390830784951397,0.9939889067812991,0.003070953038353031,0.29215255710886795,0.006011093
0.11,3,0.7980406771180102,0.7097976927220656,0.8217329623107228,0.9969305936495639,0.8391043235820881,0.9939894602088818,0.003069406352004141,0.2922566752824851,0.00601054
0.11,5,0.7976212448803264,0.7094709452617455,0.8211126815903533,0.9969327469749761,0.8391018891645122,0.9939871674374682,0.0030672530265918956,0.29287695600285446,0.0060128327
0.11,10,0.7967922043629619,0.7086158105883172,0.8199372157087605,0.9969383106653831,0.8395115759531894,0.9939802891232276,0.0030616893361849746,0.2940524218844473,0.006019711
0.11,20,0.7922611634695758,0.7049770598341948,0.8150150487554744,0.9969588569812539,0.8391034613840087,0.9939554639430949,0.0030411430203139494,0.2989745888377334,0.006044536
0.11,30,0.7871200474919074,0.7010033968619175,0.8093042165883688,0.9969770530134177,0.8406754686560924,0.9939209933108085,0.003022946988150005,0.3046854210048392,0.0060790065
0.11,50,0.7816676575375304,0.6963960227802746,0.80038501499151,0.9970358916884321,0.8460094395612435,0.9938443831211633,0.002964108313135658,0.3136046226016978,0.006155617
0.12,0,0.7978942947034434,0.7095969053339746,0.8199907531600148,0.9969775665815505,0.8407783996851884,0.9939950735457906,0.003022433420017949,0.29399888443319283,0.0060049263
0.12,3,0.7978033143047353,0.709536909166902,0.8198524821754601,0.9969791944472063,0.8409089819866465,0.9939946782403745,0.0030208055543619453,0.2941371554177473,0.0060053216
0.12,5,0.7974628408481536,0.7092774848854242,0.819343747532224,0.9969805326519156,0.8406843146333872,0.9939930179576267,0.0030194673496526827,0.2946458900609834,0.006006982
0.12,10,0.7965417260121831,0.7083452575564222,0.8180342518833784,0.9969875812007015,0.8411174855014076,0.9939867721320519,0.003012418800866802,0.29595538570982916,0.006013228
0.12,20,0.7924414013014128,0.7051288181783205,0.8135360727799302,0.9970078135419068,0.8408751949579719,0.9939640816011662,0.0029921864596613515,0.30045356481327745,0.0060359184
0.12,30,0.7865162655213084,0.7005314228390671,0.8072759295516388,0.9970282045739016,0.8419700724586063,0.9939254997925525,0.0029717954276667832,0.30671370804156883,0.0060745003
0.12,50,0.7818187694613157,0.6964875186975362,0.798838599345288,0.9970873951971669,0.8477165758286574,0.9938563213447303,0.002912604804401368,0.3151510382479194,0.0061436784
