mode,threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability_tta,0.15,0,0.35601497163571616,0.21655609114028274,0.580896035115902,0.996331778571415,0.2566561966396997,0.9954279685507006,0.004572031553834677,12175,9577571,35262,8784
raw_probability_tta,0.15,3,0.357104085674414,0.21736257456152136,0.580705186315864,0.9963553928378857,0.25782739482263745,0.9954511162375097,0.004548883531242609,12171,9577798,35035,8788
raw_probability_tta,0.15,5,0.35821115449784746,0.2181834500089359,0.5799417911157116,0.9963849366778754,0.25913529186026113,0.9954789349821951,0.004521064925938845,12155,9578082,34751,8804
raw_probability_tta,0.15,10,0.3603810090786783,0.21979558121376472,0.5776516055152547,0.9964501619865851,0.26188055633660057,0.9955390359268698,0.004460963886231184,12107,9578709,34124,8852
raw_probability_tta,0.15,15,0.3625644804715741,0.22142214221418077,0.5751228589147501,0.99651715576459,0.26472526024503346,0.9956003824869782,0.0043996176682412624,12054,9579353,33480,8905
raw_probability_tta,0.15,20,0.3635064243898178,0.2221251765405073,0.5703039267137887,0.9965823810732997,0.26677230728021545,0.9956549819634876,0.004345017950981855,11953,9579980,32853,9006
raw_probability_tta,0.15,30,0.3678662078200583,0.2253897380120546,0.5635765065124464,0.9967285398591644,0.2730466944058546,0.9957861867891679,0.004213813226670027,11812,9581385,31448,9147
raw_probability_tta,0.15,50,0.3677408906881996,0.22529565838554147,0.5417243189080864,0.9969377393740212,0.278345713515168,0.9959473901865424,0.004052609670907259,11354,9583396,29437,9605
raw_probability_tta,0.15,75,0.35649860040772086,0.21691408385545716,0.49219905529820496,0.9972329697187073,0.2794527969659273,0.9961342325015934,0.003865767503157258,10316,9586234,26599,10643
raw_probability_tta,0.15,100,0.35435629521905276,0.21532990050614959,0.47087170189394967,0.9974125213659689,0.28406539635015715,0.9962669943465657,0.0037330056075006723,9869,9587960,24873,11090
raw_probability_tta,0.15,150,0.3199314290269859,0.19042760191728195,0.3828904050763954,0.9977963832306241,0.2747534921938254,0.9964586115207792,0.003541388548910618,8025,9591650,21183,12934
raw_probability_tta,0.15,200,0.3045598687806879,0.17963469377220484,0.33222004866628546,0.9981479965375442,0.2811515787772425,0.9966992229020505,0.003300777170807123,6963,9595030,17803,13996
raw_probability_tta,0.16,0,0.3767881828489187,0.232125086121061,0.5787012739154641,0.996744664138032,0.2793284510155499,0.9958351809962257,0.00416481913998723,12129,9581540,31293,8830
raw_probability_tta,0.16,3,0.3777601171831802,0.23286329055555352,0.578319576315388,0.9967654696591516,0.2804878048779839,0.9958551108431645,0.004144889302551746,12121,9581740,31093,8838
raw_probability_tta,0.16,5,0.3785397261986031,0.2334560595253709,0.5778424543152928,0.9967836744901312,0.28146134002642836,0.9958722380553774,0.00412776181474328,12111,9581915,30918,8848
raw_probability_tta,0.16,10,0.3801019200731458,0.23464557726391597,0.574741161314674,0.9968398493971539,0.28394305110308227,0.9959215436662937,0.004078456200659275,12046,9582455,30378,8913
raw_probability_tta,0.16,15,0.38253942966379123,0.23650618548573074,0.5728326733142932,0.9968994572151613,0.2871493147735555,0.995976869751806,0.004023130051791668,12006,9583028,29805,8953
raw_probability_tta,0.16,20,0.384566995177124,0.23805815160950594,0.568777136313484,0.9969710282078125,0.29048686583159744,0.996039461927348,0.003960538189858198,11921,9583716,29117,9038
raw_probability_tta,0.16,30,0.38838152385341923,0.24098850292536292,0.5620497161121417,0.997095237168896,0.29670301992285303,0.9961487646816529,0.0038512353785336018,11780,9584910,27923,9179
raw_probability_tta,0.16,50,0.38928688003566647,0.24168604279096362,0.5405792261078579,0.9973036044629081,0.30416107382542173,0.9963099680790275,0.003690031822770834,11330,9586913,25920,9629
raw_probability_tta,0.16,75,0.37650585891077704,0.23191082085345527,0.4913402356980336,0.9975609687591567,0.30518018018008974,0.9964596495336406,0.0035403503570705652,10298,9589387,23446,10661
raw_probability_tta,0.16,100,0.3737364158779423,0.22981294024345064,0.47010830669379733,0.9977202350233267,0.3101548728279054,0.9965723777303881,0.0034276223741471767,9853,9590918,21915,11106
raw_probability_tta,0.16,150,0.34382171889403434,0.20759946125150033,0.3824132830763002,0.9981640167888063,0.31230517456346935,0.9968244072531347,0.0031755927484482527,8015,9595184,17649,12944
raw_probability_tta,0.16,200,0.32561078348770817,0.1944654088049771,0.3319337754662284,0.9984587269954643,0.3195241813253481,0.9970086545360322,0.002991345478221774,6957,9598017,14816,14002
raw_probability_tta,0.17,0,0.3951618175873823,0.24623156522442635,0.5767450737150738,0.9970733913717206,0.3005395191565848,0.9961589372076947,0.0038410627748817205,12088,9584700,28133,8871
raw_probability_tta,0.17,3,0.39608601586566644,0.2469496617547371,0.5765065127150262,0.997090347871433,0.3016752802535886,0.9961753378109046,0.003824662184342742,12083,9584863,27970,8876
raw_probability_tta,0.17,5,0.3971437503084294,0.24777253130768884,0.5758385419148929,0.9971131299170589,0.30308890005014993,0.9961966170745632,0.00380338286049664,12069,9585082,27751,8890
raw_probability_tta,0.17,10,0.39857958316733066,0.24889128362410395,0.5730235221143313,0.9971605665052113,0.30555908917432756,0.9962378261851605,0.0037621736992150545,12010,9585538,27295,8949
raw_probability_tta,0.17,15,0.4005427226586039,0.2504241459480447,0.5704470633138172,0.9972137246116718,0.3086215797624397,0.9962852633729263,0.0037147365510463715,11956,9586049,26784,9003
raw_probability_tta,0.17,20,0.4035525667803754,0.25278161897665086,0.5669163605131128,0.9972904969846028,0.31327778949580437,0.9963541874269229,0.003645812626928091,11882,9586787,26046,9077
