threshold,dice,iou,sensitivity,specificity,precision,mae,tp,tn,fp,fn
0.53,0.49218148030628384,0.3264195749540607,0.5181067799033742,0.9987196282303032,0.4687270686750685,0.002325979294255376,10859,9600525,12308,10100
0.54,0.49314694230670436,0.3272694306780106,0.5167231261030981,0.9987378330612828,0.4716282715670985,0.0023108243476599455,10830,9600700,12133,10129
0.55,0.4935920908091145,0.32766164316956503,0.5145283649026602,0.9987565580302904,0.47429300259468077,0.0022969148121774197,10784,9600880,11953,10175
0.56,0.49406678318450603,0.32808014171390626,0.5125244525022603,0.998774242723242,0.4768923418421856,0.0022836283314973116,10742,9601050,11783,10217
0.57,0.49467630551758907,0.32861789615799414,0.5109499499019462,0.998790262974504,0.4794072880291524,0.0022710682824254036,10709,9601204,11629,10250
0.58,0.49566105155680185,0.32948761452314235,0.5096140083016797,0.9988080516950613,0.48245178192308485,0.002256224863231182,10681,9601375,11458,10278
0.59,0.49679300291533607,0.3304887509696414,0.5081349301013846,0.998828024995336,0.48594634057287556,0.0022395127452909946,10650,9601567,11266,10309
0.6,0.49763255356042907,0.33123225262884787,0.5064650031010514,0.9988465419091324,0.48910288900129517,0.0022246690932661295,10615,9601745,11088,10344
0.61,0.49872737556549335,0.3322030705471313,0.5048427883007277,0.9988669313198295,0.4927583476922215,0.002207853365689516,10581,9601941,10892,10378
0.62,0.4993134144607938,0.3327233142964274,0.503125149100385,0.998883367681514,0.49555900183255996,0.002195189706981182,10545,9602099,10734,10414
0.63,0.5002616929151401,0.3335659898476099,0.5016460709000898,0.9989013644572823,0.49888493475658413,0.0021804498974233866,10514,9602272,10561,10445
0.64,0.5005138009318915,0.3337902017657432,0.49964215849969,0.9989166565153051,0.5013884898972989,0.0021695506293326616,10472,9602419,10414,10487
0.65,0.500648383843115,0.33390992376182527,0.49735197289923305,0.9989327807941728,0.5039887830583069,0.002158443909138441,10424,9602574,10259,10535
0.66,0.5013512209245002,0.3345355015294366,0.4956820458988999,0.9989497372938853,0.5071515743224275,0.002145157428458333,10389,9602737,10096,10570
0.67,0.50198893955552,0.33510362694289664,0.4937258456985096,0.9989679421248648,0.5105333267548914,0.002131247892975807,10348,9602912,9921,10611
0.68,0.50302232621612,0.33602526946486827,0.4923421918982335,0.998985730845422,0.5141760924806845,0.0021165083162486553,10319,9603083,9750,10640
0.69,0.5040227629512107,0.33691873811230505,0.49019514289780514,0.9990080967806255,0.5186531374625076,0.0020988620817661285,10274,9603298,9535,10685
0.7,0.5043902920282892,0.337247270688236,0.4878572450973387,0.9990263016116051,0.5220832269591411,0.002085783053189516,10225,9603473,9360,10734
0.71,0.5049463218703035,0.3377446102818117,0.4858533326969388,0.9990438822769511,0.5256013213582504,0.002072600182145834,10183,9603642,9191,10776
0.72,0.5060583395660668,0.3387403624710995,0.48423111789661516,0.9990635434944091,0.5299462169074566,0.0020565111190080643,10149,9603831,9002,10810
0.73,0.5066005360585891,0.3392264081316585,0.48246576649626294,0.9990793556904599,0.5332770804764617,0.0020445738919079304,10112,9603983,8850,10847
0.74,0.5068634611992779,0.3394622313685977,0.48008015649578695,0.9990968323282003,0.5368117797692399,0.0020323253702372313,10062,9604151,8682,10897
0.75,0.5072199422403336,0.3397820995824119,0.47764683429530147,0.9991153492419966,0.54069673237886,0.002019142732024193,10011,9604329,8504,10948
0.76,0.5073036428988943,0.33985722580853917,0.47473639009472074,0.9991346983766378,0.5446682723885785,0.00200616754591465,9950,9604515,8318,11009
0.77,0.506862317539184,0.3394612054153187,0.47134882389404487,0.9991529032076174,0.5481633558980423,0.0019953721202909946,9879,9604690,8143,11080
0.78,0.5063421943216032,0.33899477671301703,0.4675795600932928,0.9991729805354977,0.552112676056027,0.0019835387356579304,9800,9604883,7950,11159
0.79,0.5068824646768216,0.33947927921636073,0.46471682809272163,0.9991956585535181,0.5574633699630509,0.001967138145118952,9740,9605101,7732,11219
0.8,0.5069751616194659,0.33956244302631666,0.46209265709219804,0.9992132392188641,0.5615143784783386,0.0019553047604858875,9685,9605270,7563,11274
