epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,best_val_dice_so_far,epochs_without_improvement
21,2.0442115580259612e-05,0.8928932855363751,0.4622158247550003,0.3095504536186574,0.9680644941329956,0.2629679762341683,0.16703401442176152,0.2551135564747258,0
22,1.9635254915624214e-05,0.8800622713370402,0.47428905719616377,0.3190842066876224,0.9601674723625183,0.28281661790607054,0.18006353738529163,0.2629679762341683,0
23,1.8813275012902307e-05,0.86730472523658,0.49374714090687327,0.3362900339921967,0.956952359676361,0.27597974481992116,0.17751289016566862,0.28281661790607054,0
24,1.7978856999686182e-05,0.8566827065631991,0.49987111729188044,0.34199370865206247,0.9504887533187866,0.3056032816545282,0.19753592944156273,0.28281661790607054,1
25,1.7134722574099278e-05,0.8438741911630161,0.5045466670980219,0.34737754881870553,0.9441935539245605,0.2893551924857421,0.18692432158022357,0.3056032816545282,0
26,1.6283625127182596e-05,0.8329745653222819,0.5098083424763601,0.35250613252159024,0.940267231464386,0.30683248603617475,0.200744474659615,0.3056032816545282,1
27,1.5428340761905447e-05,0.8234448173984152,0.5123041369417896,0.3565813245205972,0.9264090538024903,0.27355130583285114,0.17255886785923266,0.30683248603617475,0
28,1.4571659238094559e-05,0.8114565464316822,0.529599236416035,0.3706879989534128,0.9259394836425782,0.3047219840861316,0.1977389344252105,0.30683248603617475,1
29,1.3716374872817406e-05,0.8016235632974593,0.5426154964771427,0.3802462385692557,0.9177681970596313,0.3210946552544512,0.20757715591189044,0.30683248603617475,2
30,1.2865277425900725e-05,0.7938876454947424,0.5553197821022057,0.3935154107261877,0.917956154346466,0.31025012501448057,0.20276673748090526,0.3210946552544512,0
31,1.2021143000313819e-05,0.783681147899784,0.5402962873216535,0.3816201832817226,0.9136725151538849,0.3069234449649256,0.1993867654958766,0.3210946552544512,1
32,1.1186724987097699e-05,0.7747336039777661,0.5686061658789633,0.4073430836643474,0.9023973333835602,0.30455367431707925,0.19395838171907015,0.3210946552544512,2
33,1.0364745084375788e-05,0.7676989914941006,0.5765590824064661,0.412568420416019,0.9014707779884339,0.31738003388649627,0.20558487974709674,0.3210946552544512,3
34,9.557884419740382e-06,0.7572883035315842,0.5798551833531895,0.41828513401942174,0.8999958920478821,0.33692012445111763,0.22159864188213838,0.3210946552544512,4
35,8.768774804971704e-06,0.7504120215040738,0.5841317466292225,0.4216959999843699,0.8951938366889953,0.3190678130145715,0.20639760405379995,0.33692012445111763,0
36,7.999990151614893e-06,0.7454758291361762,0.5874280467873714,0.4241836109488714,0.8963835537433624,0.33387766347533016,0.22098812775021343,0.33692012445111763,1
37,7.254038075415572e-06,0.7406963544790862,0.5903802517129749,0.430422748179465,0.8920222294330596,0.3345560457625467,0.21943424706096237,0.33692012445111763,2
38,6.533351716998464e-06,0.7366142590514949,0.5954461894074424,0.43114741635127146,0.8879843151569367,0.34180350155409,0.22411976882095958,0.33692012445111763,3
39,5.84028180546843e-06,0.7277445412072979,0.5993017838870893,0.43758376443483793,0.8839033138751984,0.3366402596290145,0.2194294115955863,0.34180350155409,0
40,5.177088990820724e-06,0.7255486806885141,0.602684173183363,0.4388507221077309,0.8846586787700653,0.3468147550604253,0.22765061714564847,0.34180350155409,1
