mode,threshold,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
raw_probability,0.19,0.34711878891460946,0.21000830948200352,0.5426308507082672,0.9965466996045798,0.25517736543331576,0.9955591733763809,0.004440826829522848,11373,9579637,33196,9586
raw_probability,0.2,0.363997819604264,0.22249225824149926,0.5416288945080673,0.9968726180929172,0.27410358565730436,0.9958822029788468,0.004117797128856182,11352,9582770,30063,9607
raw_probability,0.21,0.3791908675492729,0.2339515862524302,0.5404360895078294,0.9971437140331045,0.292053424092334,0.9961501140983727,0.003849885892122984,11327,9585376,27457,9632
raw_probability,0.22,0.3940804267112214,0.2453923803320861,0.5393387089076104,0.9973882829338646,0.31046415819821194,0.9963917634925055,0.0036082365550100803,11304,9587727,25106,9655
raw_probability,0.23,0.4080909600331867,0.25635318965315645,0.538575313707458,0.997599667028439,0.3285024154588416,0.9966010268853626,0.0033989730291068554,11288,9589759,23074,9671
raw_probability,0.24,0.42067509760326893,0.26636387292118696,0.5372393721071915,0.9977827556142909,0.3456744642965722,0.9967808107129561,0.003219189355149865,11260,9591519,21314,9699
raw_probability,0.25,0.43230047670297705,0.27575467765264583,0.5365236891070487,0.9979381728570538,0.3619829389987568,0.9969343328151563,0.003065667115151882,11245,9593013,19820,9714
raw_probability,0.26,0.44318563110619896,0.2846746792432972,0.5356648695068774,0.9980776738761602,0.3779371170805972,0.9970716619167188,0.002928338013589382,11227,9594354,18479,9732
raw_probability,0.27,0.45243146049246374,0.29234986945162084,0.5342335035065918,0.9981960572913303,0.39235405424332737,0.9971866737417614,0.002813326194882393,11197,9595492,17341,9762
raw_probability,0.28,0.46064103885386776,0.29924211992172167,0.5331361229063728,0.9982958197650984,0.40550152416881785,0.9972838317455879,0.0027161682955920696,11174,9596451,16382,9785
raw_probability,0.29,0.46815293303402444,0.3056133625409897,0.5325158643062491,0.9983812264292942,0.41767083302132413,0.9973677031847886,0.0026322968769818544,11161,9597272,15561,9798
raw_probability,0.3,0.47498934810386134,0.31146624944112894,0.5318956057061254,0.9984569585261692,0.4290827912703787,0.9974419211043782,0.0025580788496881723,11148,9598000,14833,9811
raw_probability,0.31,0.4804367999653667,0.3161676986876339,0.5310844983059635,0.9985179187030494,0.43860824336021803,0.9975009840361916,0.0024990160018205643,11131,9598586,14247,9828
