mode,threshold,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
lung_constrained_probability_5slice,0.19,0.3554124663534499,0.2161103979460385,0.4819409322961582,0.9973180643000862,0.2815060476003898,0.9961968246771356,0.0038031754083931446,10101,9587052,25781,10858
lung_constrained_probability_5slice,0.2,0.3585542168674059,0.2184380504990717,0.4792213368956156,0.9973970212527349,0.28643130097522207,0.9962696931800055,0.0037303068675100803,10044,9587811,25022,10915
lung_constrained_probability_5slice,0.21,0.3616951974231187,0.2207740567287663,0.47683572689513964,0.997471192935526,0.291344780339827,0.9963385134327158,0.003661486553028226,9994,9588524,24309,10965
lung_constrained_probability_5slice,0.22,0.3649958764775287,0.22323850516730037,0.4751180876947969,0.997539955182826,0.2963161340235981,0.996403389236553,0.0035966108553111553,9958,9589185,23648,11001
lung_constrained_probability_5slice,0.23,0.36773714497858406,0.22529284658245757,0.47258934109429235,0.9976067409056196,0.3009632037919538,0.9964645281940891,0.0035354718565940857,9905,9589827,23006,11054
lung_constrained_probability_5slice,0.24,0.370396813467539,0.22729264187049433,0.47029915549383544,0.997668949413767,0.3055013172167037,0.9965216189014658,0.003478381084278226,9857,9590425,22408,11102
lung_constrained_probability_5slice,0.25,0.3731879239259831,0.22939829954213087,0.4685815162934927,0.9977266847348738,0.31006503757014897,0.9965754917689722,0.0034245082642883062,9821,9590980,21853,11138
lung_constrained_probability_5slice,0.26,0.37585027477799166,0.23141356301163424,0.4666253160931024,0.9977838999179525,0.3146414438759725,0.9966283266236172,0.0033716734033077955,9780,9591530,21303,11179
lung_constrained_probability_5slice,0.27,0.3781590900267134,0.23316657490958348,0.4647645402927311,0.9978343533066674,0.3187604306422596,0.9966746219972354,0.003325378056615591,9741,9592015,20818,11218
lung_constrained_probability_5slice,0.28,0.3806927391832306,0.23509604902976308,0.46304690109238844,0.9978859509990438,0.3232091117992729,0.9967223705888596,0.003277629381045699,9705,9592511,20322,11254
lung_constrained_probability_5slice,0.29,0.38323827629903695,0.23704066633997134,0.4616632472921124,0.9979339077252243,0.3275891255034947,0.9967672127444718,0.003232787363231182,9676,9592972,19861,11283
lung_constrained_probability_5slice,0.3,0.3851333799579608,0.23849237774692178,0.4598024714917411,0.9979767670987305,0.33132778656386874,0.9968059306242019,0.003194069489836693,9637,9593384,19449,11322
lung_constrained_probability_5slice,0.31,0.3874351887343621,0.24026022769917674,0.4581325444914079,0.9980228513280103,0.3356403803130818,0.9968482815489468,0.0031517185270786285,9602,9593827,19006,11357
lung_constrained_probability_5slice,0.32,0.3896394563358856,0.24195790058872416,0.45684431509115087,0.9980636301494045,0.33967150306845234,0.9968861690183877,0.003113830927759409,9575,9594219,18614,11384
lung_constrained_probability_5slice,0.33,0.3911395258293086,0.2431158774230728,0.4553652368908558,0.9980965028727734,0.3427914661301836,0.9969157523849373,0.003084247699007392,9544,9594535,18298,11415
lung_constrained_probability_5slice,0.34,0.39272141440837893,0.24433935593301184,0.45359988549050356,0.9981327044795214,0.34625050078291647,0.9969480345849268,0.0030519654974341393,9507,9594883,17950,11452
lung_constrained_probability_5slice,0.35,0.39470231773590836,0.24587484433368467,0.45216851949021797,0.9981706745555645,0.3501958465744031,0.9969828080157834,0.00301719200797379,9477,9595248,17585,11482
